NAME,B01001_001E,state,county
"Broomfield County, Colorado",66120,08,014
"Broward County, Florida",1909151,12,011
"Brown County, Illinois",6675,17,009
"Brown County, Indiana",15034,18,013
"Brown County, Kansas",9664,20,013
"Brown County, Minnesota",25211,27,015
"Brown County, Nebraska",2988,31,017
"Brown County, Ohio",43679,39,015
"Brown County, South Dakota",38840,46,013
"Brown County, Texas",37834,48,049
"Brown County, Wisconsin",259786,55,009
"Brule County, South Dakota",5256,46,015
"Brunswick County, North Carolina",126860,37,019
"Brunswick County, Virginia",16665,51,025
"Bryan County, Georgia",35885,13,029
"Bryan County, Oklahoma",45759,40,013
"Buchanan County, Iowa",21125,19,019
"Buchanan County, Missouri",89076,29,021
"Buchanan County, Virginia",22138,51,027
"Buckingham County, Virginia",17004,51,029
"Bucks County, Pennsylvania",626370,42,017
"Buena Vista County, Iowa",20260,19,021
"Buena Vista city, Virginia",6399,51,530
"Buffalo County, Nebraska",49030,31,019
"Buffalo County, South Dakota",2053,46,017
"Buffalo County, Wisconsin",13167,55,011
"Bullitt County, Kentucky",79466,21,029
"Bulloch County, Georgia",74782,13,031
"Bullock County, Alabama",10352,01,011
"Buncombe County, North Carolina",254474,37,021
"Bureau County, Illinois",33381,17,011
"Burke County, Georgia",22550,13,033
"Burke County, North Carolina",89712,37,023
"Burke County, North Dakota",2213,38,013
"Burleigh County, North Dakota",93737,38,015
"Burleson County, Texas",17863,48,051
"Burlington County, New Jersey",446367,34,005
"Burnet County, Texas",45750,48,053
"Burnett County, Wisconsin",15258,55,013
"Burt County, Nebraska",6528,31,021
"Butler County, Alabama",20025,01,013
"Butler County, Iowa",14735,19,023
"Butler County, Kansas",66468,20,015
"Butler County, Kentucky",12745,21,031
"Butler County, Missouri",42733,29,023
"Butler County, Nebraska",8067,31,023
"Butler County, Ohio",378294,39,017
"Butler County, Pennsylvania",186566,42,019
"Butte County, California",227075,06,007
"Butte County, Idaho",2602,16,023
"Butte County, South Dakota",10177,46,019
"Butts County, Georgia",23750,13,035
"Cabarrus County, North Carolina",201448,37,025
"Cabell County, West Virginia",95318,54,011
"Cabo Rojo Municipio, Puerto Rico",49005,72,023
"Cache County, Utah",122336,49,005
"Caddo County, Oklahoma",29342,40,015
"Caddo Parish, Louisiana",248361,22,017
"Caguas Municipio, Puerto Rico",131363,72,025
"Calaveras County, California",45235,06,009
"Calcasieu Parish, Louisiana",200182,22,019
"Caldwell County, Kentucky",12727,21,033
"Caldwell County, Missouri",9049,29,025
"Caldwell County, North Carolina",81779,37,027
"Caldwell County, Texas",41401,48,055
"Caldwell Parish, Louisiana",9996,22,021
"Caledonia County, Vermont",30425,50,005
"Calhoun County, Alabama",115098,01,015
"Calhoun County, Arkansas",5202,05,013
"Calhoun County, Florida",14444,12,013
"Calhoun County, Georgia",6428,13,037
"Calhoun County, Illinois",4858,17,013
"Calhoun County, Iowa",9780,19,025
"Calhoun County, Michigan",134473,26,025
"Calhoun County, Mississippi",14571,28,013
"Calhoun County, South Carolina",14713,45,017
"Calhoun County, Texas",21807,48,057
"Calhoun County, West Virginia",7396,54,013
"Callahan County, Texas",13770,48,059
"Callaway County, Missouri",44840,29,027
"Calloway County, Kentucky",38776,21,035
"Calumet County, Wisconsin",49807,55,015
"Calvert County, Maryland",91082,24,009
"Camas County, Idaho",886,16,025
"Cambria County, Pennsylvania",134550,42,021
"Camden County, Georgia",52714,13,039
"Camden County, Missouri",45096,29,029
"Camden County, New Jersey",507367,34,007
"Camden County, North Carolina",10447,37,029
"Cameron County, Pennsylvania",4686,42,023
"Cameron County, Texas",421750,48,061
"Cameron Parish, Louisiana",6868,22,023
"Camp County, Texas",12813,48,063
"Campbell County, Kentucky",92267,21,037
"Campbell County, South Dakota",1435,46,021
"Campbell County, Tennessee",39687,47,013
"Campbell County, Virginia",55170,51,031
"Campbell County, Wyoming",47708,56,005
"Camuy Municipio, Puerto Rico",32222,72,027
"Canadian County, Oklahoma",136710,40,017
"Candler County, Georgia",10827,13,043
"Cannon County, Tennessee",13976,47,015
"Canyon County, Idaho",212230,16,027
"Canóvanas Municipio, Puerto Rico",46108,72,029
"Cape Girardeau County, Missouri",78324,29,031
"Cape May County, New Jersey",93705,34,009
"Carbon County, Montana",10546,30,009
"Carbon County, Pennsylvania",63931,42,025
"Carbon County, Utah",20356,49,007
"Carbon County, Wyoming",15477,56,007
"Caribou County, Idaho",6918,16,029
"Carlisle County, Kentucky",4841,21,039
"Carlton County, Minnesota",35540,27,017
"Carolina Municipio, Puerto Rico",157453,72,031
"Caroline County, Maryland",32875,24,011
"Caroline County, Virginia",30184,51,033
"Carroll County, Arkansas",27887,05,015
"Carroll County, Georgia",116022,13,045
"Carroll County, Illinois",14562,17,015
"Carroll County, Indiana",19994,18,015
"Carroll County, Iowa",20344,19,027
"Carroll County, Kentucky",10711,21,041
"Carroll County, Maryland",167522,24,013
"Carroll County, Mississippi",10129,28,015
"Carroll County, Missouri",8843,29,033
"Carroll County, New Hampshire",47840,33,003
"Carroll County, Ohio",27578,39,019
"Carroll County, Tennessee",28018,47,017
"Carroll County, Virginia",29738,51,035
"Carson City, Nevada",54467,32,510
"Carson County, Texas",6032,48,065
"Carter County, Kentucky",27290,21,043
"Carter County, Missouri",6197,29,035
"Carter County, Montana",1318,30,011
"Carter County, Oklahoma",48406,40,019
"Carter County, Tennessee",56391,47,019
"Carteret County, North Carolina",68920,37,031
"Carver County, Minnesota",100416,27,019
"Cascade County, Montana",81746,30,013
"Casey County, Kentucky",15796,21,045
"Cass County, Illinois",12665,17,017
"Cass County, Indiana",38084,18,017
